name,weighted_degree,degree
巩俐,2,1
张国荣,7,3
葛优,2,1
加里·奥德曼,6,3
汤姆·哈迪,2,1
约瑟夫·高登-莱维特,2,1
曾志伟,2,1
梁朝伟,6,2
黄秋生,2,1
吴孟达,4,1
周星驰,4,1
孔刘,2,1
郑裕美,2,1
阿尔·帕西诺,2,1
丹尼尔·雷德克里夫,18,4
艾玛·沃森,18,4
鲁伯特·格林特,18,4
克里斯蒂安·贝尔,2,1
迈克尔·凯恩,2,1
伊利亚·伍德,7,3
奥兰多·布鲁姆,4,2
维果·莫腾森,4,2
西恩·奥斯汀,7,3
周润发,2,1
伊桑·霍克,3,1
富润生,4,2
毕克,4,2
邱岳峰,4,2
凯瑞-安·莫斯,9,3
劳伦斯·菲什伯恩,9,3
基努·里维斯,9,3
雨果·维文,9,3
黛安·基顿,2,1
海伦娜·伯翰·卡特,6,3
亨利·伯格曼,2,1
查理·卓别林,2,1
朱莉·德尔佩,3,1
林青霞,5,2
三浦贵大,6,3
松冈茉优,6,3
桥本爱,6,3
温水洋一,6,3
三船敏郎,2,1
志村乔,2,1
