name,bipartite,weighted_degree
张国荣,actor,4
巩俐,actor,2
汤姆·汉克斯,actor,3
宫崎骏,director,4
克里斯托弗·诺兰,director,11
安妮·海瑟薇,actor,2
约瑟夫·高登-莱维特,actor,2
汤姆·哈迪,actor,2
史蒂文·斯皮尔伯格,director,3
刘伟强,director,4
梁朝伟,actor,4
黄秋生,actor,4
曾志伟,actor,4
麦兆辉,director,4
刘镇伟,director,4
周星驰,actor,6
吴孟达,actor,2
弗朗西斯·福特·科波拉,director,5
阿尔·帕西诺,actor,3
克里斯·哥伦布,director,6
丹尼尔·雷德克里夫,actor,5
艾玛·沃森,actor,5
鲁伯特·格林特,actor,5
岛本须美,actor,2
张艺谋,director,2
克里斯蒂安·贝尔,actor,3
迈克尔·凯恩,actor,2
彼得·杰克逊,director,10
伊利亚·伍德,actor,3
西恩·奥斯汀,actor,3
维果·莫腾森,actor,2
奥兰多·布鲁姆,actor,2
姜文,actor,2
周润发,actor,2
李安,director,2
伊桑·霍克,actor,3
毕克,actor,2
莉莉·沃卓斯基,director,12
基努·里维斯,actor,6
劳伦斯·菲什伯恩,actor,6
凯瑞-安·莫斯,actor,6
雨果·维文,actor,6
拉娜·沃卓斯基,director,12
黛安·基顿,actor,2
郎雄,actor,2
宋康昊,actor,2
大卫·芬奇,director,3
布拉德·皮特,actor,3
海伦娜·伯翰·卡特,actor,2
大卫·叶茨,director,11
马特·达蒙,actor,2
昆汀·塔伦蒂诺,director,2
李力持,director,2
查理·卓别林,actor,4
亨利·伯格曼,actor,2
奉俊昊,director,2
王家卫,director,8
今敏,director,4
江守彻,actor,2
松田洋治,actor,2
王树忱,director,2
理查德·林克莱特,director,6
朱莉·德尔佩,actor,3
林青霞,actor,2
森淳一,director,8
桥本爱,actor,2
三浦贵大,actor,2
松冈茉优,actor,2
温水洋一,actor,2
克里斯托弗·瓦尔兹,actor,2
黑泽明,director,4
三船敏郎,actor,2
志村乔,actor,2
保罗·格林格拉斯,director,2
吴宇森,director,4
饭塚昭三,actor,2
