director,effect,count
今敏,0.4477313303929602,4
弗朗西斯·福特·科波拉,0.3029247868100162,3
是枝裕和,0.16423181902069683,4
彼得·杰克逊,0.10363907030971875,3
理查德·林克莱特,0.01555828743533283,3
OTHER_DIRECTOR,0.0,178
莉莉·沃卓斯基,0.0,3
拉娜·沃卓斯基,0.0,3
李安,-0.06141160964108039,5
宫崎骏,-0.07939022404076052,8
李·昂克里奇,-0.10641306597997224,3
姜文,-0.11838542838339539,3
朱塞佩·托纳多雷,-0.12253947908116491,3
史蒂文·斯皮尔伯格,-0.12613312082420225,6
昆汀·塔伦蒂诺,-0.14231828740722263,3
王家卫,-0.18138256950925102,4
克里斯托弗·诺兰,-0.205971256229327,6
詹姆斯·卡梅隆,-0.21988607227501533,3
大卫·叶茨,-0.25982593237526164,3
彼特·道格特,-0.29281499063561345,4
刘镇伟,-0.31019610254504393,3
大卫·芬奇,-0.3202687368270727,4
